"X","id","deleted","modelId","modelCheckpoint","score","imageSize","imageWidth","timestamp","xMax","xMin","yMax","yMin","chainIndex","chainLength","speciesName","videoTitle","fps","spatial_angle_smoothed","detection_score_original","detection_center_smoothed","height","class_number","index","is_tracker","spatial_angle","spatial_duration","segmentation","spatial_speed","species_id_orig","isMaxPath","spatial_angle_simple","detection_center_x","jobId","species_id","sliceTimestamp","duration","spatial_dist","detection_score_after_1st.seq.nms","trackerType","detection_center_y"
0,"_ecF6A2","False","-jJDAxhkM",40000,0.9686,600,1920,420432.031,0.7686149597,0.7214930852,0.6618206448,0.5543776336,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,NA,0.9622608423,"[0.7451, 0.6081]",1080,9,1022,0,NA,NA,"[]",NA,9,"True","",0.7451,"3U88UknDkds",9,400,0.1034741402,NA,0.9686,"siammask",0.6081
1,"PEbcQVC","False","-jJDAxhkM",40000,0.9686,600,1920,420632.031,0.7779524485,0.7012425105,0.6624713474,0.5503889296,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,287.175903615745,0.9654042721,"[0.7418, 0.6070800000000001]",1080,9,1025,0,287.175903615745,200,"[]",0.017270205557548,9,"True","LEFT",0.7396,"3U88UknDkds",9,600,0.1083102226,0.003454041111509,0.9686,"siammask",0.6064
2,"AP9Y-Oi","False","-jJDAxhkM",40000,0.9686,600,1920,420832.031,0.7569431941,0.6818167369,0.6618973343,0.5378027457,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,287.475855059772,0.941849947,"[0.7300666666666661, 0.6033190476190471]",1080,9,1028,0,287.772510334084,200,"[]",0.061606792223525,9,"True","LEFT",0.7194,"3U88UknDkds",9,800,0.1039865017,0.012321358444705,0.9686,"siammask",0.5999
3,"pbE7jJl","False","-jJDAxhkM",40000,0.9686,600,1920,421032.031,0.7532364527,0.6590827942,0.6590439973,0.5320393315,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,287.701126664402,0.9428018928,"[0.7179929411764701, 0.5993635294117641]",1080,9,1031,0,288.139506121984,200,"[]",0.063525776559746,9,"True","LEFT",0.7062,"3U88UknDkds",9,1000,0.1043748856,0.012705155311949,0.9686,"siammask",0.5955
4,"WBIS9N2","False","-jJDAxhkM",40000,0.9686,600,1920,421232.031,0.7595081965,0.6362050374,0.6579636185,0.5335487648,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,285.716984521048,0.9737522602,"[0.7079170087976541, 0.597576539589442]",1080,9,1036,0,280.056965260419,200,"[]",0.051165844546818,9,"True","LEFT",0.6979,"3U88UknDkds",9,1200,0.1055598259,0.010233168909363,0.9686,"siammask",0.5958
5,"kUYOHvn","False","-jJDAxhkM",40000,0.9686,600,1920,421432.031,0.7008347193,0.6191097895,0.6804354067,0.528062665,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,280.692575393538,0.9248120189,"[0.6839409523809521, 0.600890695970695]",1080,9,1037,0,262.130004103421,200,"[]",0.121020134049695,9,"True","LEFT",0.66,"3U88UknDkds",9,1400,0.1033759117,0.024204026809939,0.9686,"siammask",0.6042
6,"o4DT8ZK","False","-jJDAxhkM",40000,0.9686,600,1920,421632.031,0.694761467,0.6005062103,0.6715135928,0.5289432102,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,278.934211556174,0.9712642431,"[0.665767148873832, 0.600545284746383]",1080,9,1039,0,271.088832224112,200,"[]",0.090885428264007,9,"True","LEFT",0.6476,"3U88UknDkds",9,1600,0.1037275791,0.018177085652801,0.9686,"siammask",0.6002
7,"uoI1OiN","False","-jJDAxhkM",40000,0.9686,600,1920,421832.031,0.6725886027,0.5784039179,0.6638996831,0.5307119864,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,278.230633867644,0.9899689555,"[0.645632652780956, 0.5989225680933851]",1080,9,1041,0,274.607728651691,200,"[]",0.100998903737856,9,"True","LEFT",0.6255,"3U88UknDkds",9,1800,0.1075575352,0.020199780747571,0.9686,"siammask",0.5973
8,"DO_FTC-","False","-jJDAxhkM",40000,0.9686,600,1920,422032.031,0.6718960444,0.5624887466,0.6624091254,0.5265344125,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,278.321014805104,0.9709595442,"[0.631416163696913, 0.596711258740458]",1080,9,1043,0,278.841245931371,200,"[]",0.071937203679852,9,"True","LEFT",0.6172,"3U88UknDkds",9,2000,0.1084055901,0.01438744073597,0.9686,"siammask",0.5945
9,"KUFpVr5","False","-jJDAxhkM",40000,0.9686,600,1920,422232.031,0.6594577789,0.5361087163,0.6684192234,0.5246511954,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,277.228115548964,0.9902826548,"[0.6146080337601031, 0.5966056290680211]",1080,9,1045,0,270.360067108713,200,"[]",0.08404230922583,9,"True","LEFT",0.5978,"3U88UknDkds",9,2200,0.1041824818,0.016808461845166,0.9686,"siammask",0.5965
10,"Ota8TyM","False","-jJDAxhkM",40000,0.9686,600,1920,422432.031,0.6527954102,0.529494222,0.6751434891,0.5184596309,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,276.232895324625,0.9915918112,"[0.602854008472921, 0.596702814603522]",1080,9,1047,0,269.52627342621,200,"[]",0.058772135293864,9,"True","LEFT",0.5911,"3U88UknDkds",9,2400,0.1047370434,0.011754427058772,0.9686,"siammask",0.5968
11,"FuQPmMB","False","-jJDAxhkM",40000,0.9686,600,1920,422632.031,0.6302458445,0.510621198,0.6813239769,0.5155499494,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,275.097482572728,0.9494310617,"[0.586627001334846, 0.597551407453501]",1080,9,1050,0,267.006438792681,200,"[]",0.08124590304812,9,"True","LEFT",0.5704,"3U88UknDkds",9,2600,0.1053235531,0.016249180609624,0.9686,"siammask",0.5984
12,"PuH8MsG","False","-jJDAxhkM",40000,0.9686,600,1920,422832.031,0.5687916438,0.4839985847,0.6545271697,0.5105358548,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,276.154365329984,0.939773798,"[0.556513499321244, 0.590025703390325]",1080,9,1055,0,284.03145951437,200,"[]",0.155198197893023,9,"True","LEFT",0.5264,"3U88UknDkds",9,2800,0.1037564278,0.031039639578604,0.9686,"siammask",0.5825
13,"ztQj4S5","False","-jJDAxhkM",40000,0.9686,600,1920,423032.031,0.5662260056,0.475013574,0.6709508825,0.5048171432,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,275.837315521571,0.9688272476,"[0.538556749459939, 0.588962851683284]",1080,9,1056,0,273.387358581065,200,"[]",0.089940886049202,9,"True","LEFT",0.5206,"3U88UknDkds",9,3000,0.1070890427,0.01798817720984,0.9686,"siammask",0.5879
14,"0-Mu1Yc","False","-jJDAxhkM",40000,0.9686,600,1920,423232.031,0.5238038063,0.4701464653,0.6566921658,0.4972095631,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,276.978700059792,0.9340023994,"[0.517778374671915, 0.5829814258249301]",1080,9,1058,0,286.059408017097,200,"[]",0.1081108590904,9,"True","LEFT",0.497,"3U88UknDkds",9,3200,0.1056652069,0.02162217181808,0.9686,"siammask",0.577
15,"0ewUoYT","False","-jJDAxhkM",40000,0.9686,600,1920,423432.031,0.5125913302,0.4460296313,0.6504244769,0.4979567351,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,277.621324150198,0.9203003049,"[0.49853918732251906, 0.578590712909398]",1080,9,1061,0,282.855710417183,200,"[]",0.098669231497436,9,"True","LEFT",0.4793,"3U88UknDkds",9,3400,0.1033432484,0.019733846299487,0.9686,"siammask",0.5742
16,"TKCHTar","False","-jJDAxhkM",40000,0.9686,600,1920,423632.031,0.4993179003,0.426392746,0.6635044804,0.4900115402,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,277.11121787693,0.8552425504,"[0.48071959365814804, 0.5776953564545421]",1080,9,1062,0,272.876442701666,200,"[]",0.089210366766503,9,"True","LEFT",0.4629,"3U88UknDkds",9,3600,0.1033661366,0.0178420733533,0.9686,"siammask",0.5768
17,"qLzC491","False","-jJDAxhkM",40000,0.9686,600,1920,423832.031,0.4886636416,0.3973489761,0.6858675356,0.4713444463,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,276.211461328681,0.990988791,"[0.46185979682825, 0.5781476782272911]",1080,9,1063,0,268.626116627944,200,"[]",0.094326100768969,9,"True","LEFT",0.443,"3U88UknDkds",9,3800,0.1098921299,0.018865220153793,0.9686,"siammask",0.5786
18,"OeCIMK7","False","-jJDAxhkM",40000,0.9686,600,1920,424032.031,0.4832120577,0.3724934896,0.700708573,0.4769318757,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,273.73382552145,0.9881796837,"[0.44487989841394004, 0.5834738391137031]",1080,9,1065,0,252.584689782898,200,"[]",0.088978219237667,9,"True","LEFT",0.4279,"3U88UknDkds",9,4000,0.1039509773,0.017795643847533,0.9686,"siammask",0.5888
19,"snkqlp5","False","-jJDAxhkM",40000,0.9686,600,1920,424232.031,0.4707155863,0.3605360349,0.7155237834,0.4730320118,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,271.236994302485,0.9957959652,"[0.43023994920693004, 0.588886919556866]",1080,9,1066,0,249.708266830248,200,"[]",0.07804318558785,9,"True","LEFT",0.4156,"3U88UknDkds",9,4200,0.1214575768,0.01560863711757,0.9686,"siammask",0.5943
20,"iQcn2UK","False","-jJDAxhkM",40000,0.9686,600,1920,424432.031,0.4557121913,0.3277244568,0.7280416418,0.4641448409,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,270.01572667618,0.9949058294,"[0.410969974603451, 0.592493459778435]",1080,9,1068,0,259.399245925514,200,"[]",0.098022835807337,9,"True","LEFT",0.3917,"3U88UknDkds",9,4400,0.1072423458,0.019604567161467,0.9686,"siammask",0.5961
21,"1MwLuZ9","False","-jJDAxhkM",40000,0.9686,600,1920,424632.031,0.4305802981,0.2886425654,0.7377890693,0.4719000075,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,268.632423392584,0.9976079464,"[0.385284987301721, 0.5986467298892191]",1080,9,1071,0,256.527737979701,200,"[]",0.132058822664968,9,"True","LEFT",0.3596,"3U88UknDkds",9,4600,0.1115858555,0.026411764532993,0.9686,"siammask",0.6048
22,"fPaVX_v","False","-jJDAxhkM",40000,0.9686,600,1920,424832.031,0.3996454875,0.2533304691,0.7446413393,0.4648656492,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,268.162091848915,0.9969503284,"[0.355892493650859, 0.6017233649446091]",1080,9,1072,0,264.024372437445,200,"[]",0.147765385517043,9,"True","LEFT",0.3265,"3U88UknDkds",9,4800,0.1041510105,0.029553077103408,0.9686,"siammask",0.6048
23,"Njao4-i","False","-jJDAxhkM",40000,0.9686,600,1920,425032.031,0.3851229668,0.244116195,0.7895586367,0.4443765711,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,266.284766493117,0.9784864187,"[0.33524624682542903, 0.609361682472304]",1080,9,1074,0,249.697463936453,200,"[]",0.110069455643979,9,"True","LEFT",0.3146,"3U88UknDkds",9,5000,0.1044371128,0.022013891128795,0.9686,"siammask",0.617
24,"283g9BQ","False","-jJDAxhkM",40000,0.9686,600,1920,425232.031,0.4761671702,0.2067361196,0.7518707841,0.4354850204,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,241.502438437532,0.9980649352,"[0.338373123412714, 0.6015308412361521]",1080,9,1076,0,21.7669629262714,200,"[]",0.042160239461469,9,"True","LEFT",0.3415,"3U88UknDkds",9,5200,0.105837822,0.008432047892293,0.9686,"siammask",0.5937
25,"1TNHB5C","False","-jJDAxhkM",40000,0.9686,600,1920,425432.031,0.5795525233,0.1796455383,0.772982449,0.4044302199,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,224.438850968952,0.9985044003,"[0.358986561706357, 0.5951154206180761]",1080,9,1078,0,72.7125439957505,200,"[]",0.107943441207959,9,"True","DOWN",0.3796,"3U88UknDkds",9,5400,0.1039996147,0.021588688241591,0.9686,"siammask",0.5887
26,"KJ3PDAO","False","-jJDAxhkM",40000,0.9686,600,1920,425632.031,0.6874809901,0.2244373957,0.784912618,0.3608070939,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,209.574777563426,0.9949378967,"[0.40749328085317804, 0.5840077103090381]",1080,9,1079,0,77.1020330224798,200,"[]",0.248811325641444,9,"True","DOWN",0.456,"3U88UknDkds",9,5600,0.1029400826,0.049762265128288,0.9686,"siammask",0.5729
27,"eyvJnpo","False","-jJDAxhkM",40000,0.9686,600,1920,425832.031,0.7870974223,0.2347244581,0.8085813169,0.3140287894,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,196.284246325023,0.9972134233,"[0.45919664042658903, 0.572653855154519]",1080,9,1080,0,77.6146577745753,200,"[]",0.264676567627698,9,"True","DOWN",0.5109,"3U88UknDkds",9,5800,0.1077914238,0.052935313525539,0.9686,"siammask",0.5613
28,"NKGeH9V","False","-jJDAxhkM",40000,0.9686,600,1920,426032.031,0.8706528982,0.2994450569,0.8429025156,0.2795597218,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,185.070961991706,0.9971828461,"[0.522098320213294, 0.566926927577259]",1080,9,1081,0,84.7978081210491,200,"[]",0.315809239077342,9,"True","DOWN",0.585,"3U88UknDkds",9,6000,0.1040337086,0.063161847815468,0.9686,"siammask",0.5612
29,"INo2ihf","False","-jJDAxhkM",40000,0.9686,600,1920,426232.031,0.9223619461,0.3441939036,0.8343575372,0.3030977885,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,175.611016866894,0.9983147383,"[0.577699160106647, 0.5678134637886291]",1080,9,1084,0,90.9134840318496,200,"[]",0.278039536006136,9,"True","DOWN",0.6333,"3U88UknDkds",9,6200,0.1034932137,0.055607907201227,0.9686,"siammask",0.5687
30,"DUuzMNR","False","-jJDAxhkM",40000,0.9686,600,1920,426432.031,0.9952945073,0.3783402761,0.8109385738,0.3020282604,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,166.423102717548,0.9985294342,"[0.6322495800533231, 0.562156731894314]",1080,9,1088,0,84.0797416307825,200,"[]",0.274214648226662,9,"True","DOWN",0.6868,"3U88UknDkds",9,6400,0.1046407223,0.054842929645332,0.9686,"siammask",0.5565
31,"v70m-ox","False","-jJDAxhkM",40000,0.9686,600,1920,426632.031,0.9990619024,0.4562852859,0.832778083,0.2778588754,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,158.345128320697,0.9967356324,"[0.6799747900266611, 0.558728365947157]",1080,9,1091,0,85.8911850119298,200,"[]",0.239240953855461,9,"True","DOWN",0.7277,"3U88UknDkds",9,6600,0.1042284966,0.047848190771092,0.9686,"siammask",0.5553
32,"chKrCqF","False","-jJDAxhkM",40000,0.9686,600,1920,426832.031,0.9990619024,0.5011058807,0.9071555244,0.3079980638,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,154.989614092648,0.9887895584,"[0.7150373950133301, 0.5831641829735781]",1080,9,1096,0,124.873396827025,200,"[]",0.213687588677953,9,"True","DOWN",0.7501,"3U88UknDkds",9,6800,0.1044156551,0.04273751773559,0.9686,"siammask",0.6076
33,"nukXQsr","False","-jJDAxhkM",40000,0.9686,600,1920,427032.031,0.9990619024,0.4899618785,0.8787145544,0.3177103396,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,151.186677656178,0.9294908047,"[0.7297686975066651, 0.5906820914867891]",1080,9,1104,0,117.036840277963,200,"[]",0.08269374546529,9,"True","DOWN",0.7445,"3U88UknDkds",9,7000,0.1050817966,0.016538749093058,0.9686,"siammask",0.5982
34,"ESm7q2a","False","-jJDAxhkM",40000,0.9686,600,1920,427232.031,0.9990619024,0.4629330953,0.867874202,0.3982617131,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,153.906176293946,0.9332867265,"[0.730384348753332, 0.611891045743394]",1080,9,1105,0,178.337291169798,200,"[]",0.106089439521129,9,"True","DOWN",0.731,"3U88UknDkds",9,7200,0.1043784618,0.021217887904225,0.9686,"siammask",0.6331
35,"4xvQecj","False","-jJDAxhkM",40000,0.9686,600,1920,427465.364333333,0.9990619024,0.5075890541,0.8776163737,0.330087139,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,145.582109254434,0.969884336,"[0.7418421743766661, 0.607895522871697]",1080,9,1111,0,70.7755381685182,233.3333333333,"[]",0.052004978947215,9,"True","DOWN",0.7533,"3U88UknDkds",9,7433.3333333333,0.1038913727,0.012134495087681,0.9686,"siammask",0.6039
36,"Il_A43S","False","-jJDAxhkM",40000,0.9686,600,1920,427698.697666667,0.9966709773,0.6838419596,0.8472955209,0.4305679321,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,141.767740917527,0.9769521952,"[0.7910710871883331, 0.623397761435848]",1080,9,1114,0,107.479271888012,233.333333333399,"[]",0.221194564433222,9,"True","DOWN",0.8403,"3U88UknDkds",9,7666.6666666667,0.1164824963,0.051612065034433,0.9686,"siammask",0.6389
37,"ZeoWU5J","False","-jJDAxhkM",40000,0.9686,600,1920,427932.031,0.9938692093,0.8358127594,0.9123415912,0.36190081,1,38,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,137.218962386747,0.895062685,"[0.852935543594166, 0.6302488807179241]",1080,9,1117,0,96.3194152618902,233.3333333333,"[]",0.266754259825858,9,"True","DOWN",0.9148,"3U88UknDkds",9,7900,0.1129975319,0.062242660626024,0.9686,"siammask",0.6371
38,"HgE1936z","False","-jJDAxhkM",40000,0.9547,600,1920,507265.364333333,0.9898796717,0.8089315414,0.9909466779,0.5577901204,3,3,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,NA,0.9589378238,"[0.8994000000000001, 0.7744000000000001]",1080,9,1951,0,NA,NA,"[]",NA,9,"True","",0.8994,"3U88UknDkds",9,27233.3333333333,0.1052088737,NA,0.9547,"siammask",0.7744
39,"x3MJ49hP","False","-jJDAxhkM",40000,0.9547,600,1920,507498.697666667,0.9981452306,0.7678044637,0.9741155554,0.5191053602,3,3,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,329.462452882171,0.9784747362,"[0.88956, 0.7577200000000001]",1080,9,1954,0,329.462452882171,233.333333333401,"[]",0.082997811625908,9,"True","UP",0.883,"3U88UknDkds",9,27466.6666666667,0.1036641598,0.01936615604605,0.9547,"siammask",0.7466
40,"LblknnM-","False","-jJDAxhkM",40000,0.9547,600,1920,507698.697666667,0.9990619024,0.6930553436,0.9397100378,0.5076490049,3,3,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,318.698805803922,0.9904981256,"[0.8667952380952381, 0.7399]",1080,9,1957,0,308.053440561697,200,"[]",0.144549886248701,9,"True","UP",0.8461,"3U88UknDkds",9,27666.6666666667,0.1099486351,0.02890997724974,0.9547,"siammask",0.7237
41,"yg9AS3nm","False","-jJDAxhkM",40000,0.9547,600,1920,507898.697666667,0.9990619024,0.6068078359,0.9399900083,0.4487100672,5,9,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,NA,0.9914456606,"[0.8029000000000001, 0.6944]",1080,9,1958,0,NA,NA,"[]",NA,9,"True","",0.8029,"3U88UknDkds",9,27866.6666666667,0.1021683216,NA,0.9547,"siammask",0.6944
42,"6jX8-Kq3","False","-jJDAxhkM",40000,0.9547,600,1920,508098.697666667,0.9990619024,0.4856813431,0.9861765544,0.4516307407,5,9,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,247.954086537629,0.9960033298,"[0.7666000000000001, 0.7091000000000001]",1080,9,1960,0,247.954086537629,200,"[]",0.195817517091806,9,"True","LEFT",0.7424,"3U88UknDkds",9,28066.6666666667,0.1025631428,0.039163503418361,0.9547,"siammask",0.7189
43,"X1N8bs6b","False","-jJDAxhkM",40000,0.9547,600,1920,508332.031,0.9990619024,0.3639601072,0.9983332881,0.4594833374,5,9,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,252.452844415289,0.9974412918,"[0.7220238095238091, 0.7194714285714281]",1080,9,1966,0,256.902165393195,233.333333333299,"[]",0.196143583350243,9,"True","LEFT",0.6815,"3U88UknDkds",9,28300,0.1015663147,0.04576683611505,0.9547,"siammask",0.7289
44,"LxPOeRXke","False","-jJDAxhkM",40000,0.9547,600,1920,508532.031,0.9977642059,0.7530914307,0.925426794,0.4789489181,5,9,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,195.128498002866,0.5492280126,"[0.799614117647058, 0.7107341176470581]",1080,9,1970,0,83.575087053354,200,"[]",0.390403525754118,9,"True","DOWN",0.8754,"3U88UknDkds",9,28500,0.1022071838,0.078080705150823,0.9547,"siammask",0.7022
45,"LXgOoXkK","False","-jJDAxhkM",40000,0.9547,600,1920,508532.031,0.9990619024,0.254654789,0.984878314,0.4405960083,5,9,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,214.393107668156,0.9992567897,"[0.7130038123167151, 0.7117199413489731]",1080,9,1971,0,269.347870924053,0,"[]",NA,9,"True","DOWN",0.6269,"3U88UknDkds",9,28500,0.1022071838,0.086615915614779,0.9547,"siammask",0.7127
46,"z3YhatLa","False","-jJDAxhkM",40000,0.9547,600,1920,508732.031,0.9299275716,0.1875684738,0.9983332881,0.429874957,5,9,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,226.050037042347,0.9992226362,"[0.6357953846153841, 0.712910842490842]",1080,9,1973,0,269.116311511821,200,"[]",0.386088058402527,9,"True","LEFT",0.5587,"3U88UknDkds",9,28700,0.1024112701,0.077217611680505,0.9547,"siammask",0.7141
47,"SBcuMD01","False","-jJDAxhkM",40000,0.9547,600,1920,508932.031,0.9547573725,0.0869405985,0.9983332881,0.375342136,5,9,"Acanthopagrus australis","AP2-NAT-FOR-C17_2021_0718_135201_004_4.MP4",5,236.439131619458,0.9986101389,"[0.578287163523164, 0.6998530305804791]",1080,9,1976,0,282.792671280696,200,"[]",0.294860218793503,9,"True","LEFT",0.5208,"3U88UknDkds",9,28900,0.1010665894,0.0589720437587,0.9547,"siammask",0.6868
