"X","id","deleted","modelId","modelCheckpoint","score","imageSize","imageWidth","timestamp","xMax","xMin","yMax","yMin","chainIndex","chainLength","speciesName","videoTitle","fps","spatial_angle_smoothed","detection_score_original","detection_center_smoothed","height","class_number","index","is_tracker","spatial_angle","spatial_duration","segmentation","spatial_speed","species_id_orig","isMaxPath","spatial_angle_simple","detection_center_x","jobId","species_id","sliceTimestamp","duration","spatial_dist","detection_score_after_1st.seq.nms","trackerType","detection_center_y"
0,"9-vBSxw","False","-jJDAxhkM",40000,0.9501,600,1920,79432.031,0.9793185552,0.9274295171,0.5366092823,0.3377644857,0,7,"Acanthopagrus australis","AP2-NAT-FOR-C16_2021_0718_152454_014_13.MP4",5,NA,0.8019222021,"[0.9534, 0.43720000000000003]",1080,9,305,0,NA,NA,"[]",NA,9,"True","",0.9534,"XsmyxMC4ToX",9,19400,0.1044495106,NA,0.9501,"siammask",0.4372
1,"PeEDF5c","False","-jJDAxhkM",40000,0.9501,600,1920,79632.031,0.9891716639,0.8878384908,0.488222871,0.2765894289,0,7,"Acanthopagrus australis","AP2-NAT-FOR-C16_2021_0718_152454_014_13.MP4",5,344.789125133332,0.8674632311,"[0.9444600000000001, 0.40432]",1080,9,307,0,344.789125133332,200,"[]",0.170368571045248,9,"True","UP",0.9385,"XsmyxMC4ToX",9,19600,0.1063053608,0.034073714209049,0.9501,"siammask",0.3824
2,"7uxa6Fd","False","-jJDAxhkM",40000,0.9501,600,1920,79832.031,0.9855459849,0.8272141139,0.4732658386,0.2807466012,0,7,"Acanthopagrus australis","AP2-NAT-FOR-C16_2021_0718_152454_014_13.MP4",5,325.122159153393,0.9853131175,"[0.9245238095238091, 0.39000952380952303]",1080,9,312,0,305.671313678728,200,"[]",0.122703037808883,9,"True","UP",0.9064,"XsmyxMC4ToX",9,19800,0.1033172607,0.024540607561776,0.9501,"siammask",0.377
3,"JpA1Dts","False","-jJDAxhkM",40000,0.9501,600,1920,80032.031,0.9540555954,0.7187844594,0.4571239048,0.2607146369,0,7,"Acanthopagrus australis","AP2-NAT-FOR-C16_2021_0718_152454_014_13.MP4",5,313.011491625702,0.999155283,"[0.879943529411764, 0.374271764705882]",1080,9,313,0,289.444083427626,200,"[]",0.236383080849319,9,"True","LEFT",0.8364,"XsmyxMC4ToX",9,20000,0.1042714119,0.047276616169863,0.9501,"siammask",0.3589
4,"yD70oDL","False","-jJDAxhkM",40000,0.9501,600,1920,80232.031,0.8918319066,0.6503355662,0.450968368,0.249560123,0,7,"Acanthopagrus australis","AP2-NAT-FOR-C16_2021_0718_152454_014_13.MP4",5,305.071216764115,0.9992642999,"[0.8253621700879761, 0.362250733137829]",1080,9,314,0,282.420567060506,200,"[]",0.279447221563956,9,"True","LEFT",0.7711,"XsmyxMC4ToX",9,20200,0.1046247482,0.055889444312791,0.9501,"siammask",0.3503
5,"WIbW1f6","False","-jJDAxhkM",40000,0.9501,600,1920,80432.031,0.8689975103,0.6469479879,0.4523600543,0.2516508032,0,7,"Acanthopagrus australis","AP2-NAT-FOR-C16_2021_0718_152454_014_13.MP4",5,299.44360515549,0.9983490705,"[0.7916564102564101, 0.35712161172161105]",1080,9,316,0,278.652515292562,200,"[]",0.170468921824884,9,"True","LEFT",0.758,"XsmyxMC4ToX",9,20400,0.1043488979,0.034093784364976,0.9501,"siammask",0.352
6,"1rPNd_C","False","-jJDAxhkM",40000,0.9501,600,1920,80632.031,0.8673734029,0.6458532333,0.4706286112,0.2641812642,0,7,"Acanthopagrus australis","AP2-NAT-FOR-C16_2021_0718_152454_014_13.MP4",5,291.060849231158,0.9991279244,"[0.774124995422083, 0.362261746932796]",1080,9,317,0,253.659090461425,200,"[]",0.091347071119233,9,"True","LEFT",0.7566,"XsmyxMC4ToX",9,20600,0.1045525074,0.018269414223846,0.9501,"siammask",0.3674
7,"ZAIu_ks","False","-jJDAxhkM",40000,0.9515,600,1920,81032.031,0.6828406652,0.5178567251,0.6764893143,0.3770853113,2,10,"Acanthopagrus australis","AP2-NAT-FOR-C16_2021_0718_152454_014_13.MP4",5,NA,0.9860844016,"[0.6003000000000001, 0.5268]",1080,9,320,0,NA,NA,"[]",NA,9,"True","",0.6003,"XsmyxMC4ToX",9,21000,0.1034722328,NA,0.9515,"siammask",0.5268
8,"L1hLmE3","False","-jJDAxhkM",40000,0.9515,600,1920,81232.031,0.6804866791,0.4912909508,0.692207619,0.398998204,2,10,"Acanthopagrus australis","AP2-NAT-FOR-C16_2021_0718_152454_014_13.MP4",5,217.450578231737,0.9779206514,"[0.5916600000000001, 0.53808]",1080,9,322,0,217.450578231737,200,"[]",0.071043648554955,9,"True","DOWN",0.5859,"XsmyxMC4ToX",9,21200,0.1346306801,0.014208729710991,0.9515,"siammask",0.5456
9,"nKwX18Y","False","-jJDAxhkM",40000,0.9515,600,1920,81432.031,0.6337526321,0.4786596616,0.6750607526,0.3898107175,2,10,"Acanthopagrus australis","AP2-NAT-FOR-C16_2021_0718_152454_014_13.MP4",5,248.445772152258,0.9922388196,"[0.5730857142857141, 0.5351047619047611]",1080,9,325,0,279.10035954618,200,"[]",0.094055320359785,9,"True","LEFT",0.5562,"XsmyxMC4ToX",9,21400,0.1053023338,0.018811064071957,0.9515,"siammask",0.5324
10,"K-frBWy","False","-jJDAxhkM",40000,0.9515,600,1920,81632.031,0.6428412755,0.4318705559,0.6343980012,0.3700338576,2,10,"Acanthopagrus australis","AP2-NAT-FOR-C16_2021_0718_152454_014_13.MP4",5,270.249028784714,0.9968520999,"[0.5550329411764701, 0.5184588235294111]",1080,9,326,0,312.678254748483,200,"[]",0.1227792614135,9,"True","LEFT",0.5374,"XsmyxMC4ToX",9,21600,0.1048688889,0.0245558522827,0.9515,"siammask",0.5022
11,"RjlKDjx","False","-jJDAxhkM",40000,0.9515,600,1920,81832.031,0.5879737854,0.4077516556,0.6140752157,0.3465584932,2,10,"Acanthopagrus australis","AP2-NAT-FOR-C16_2021_0718_152454_014_13.MP4",5,278.941730925734,0.9982032776,"[0.526382697947214, 0.49932346041055703]",1080,9,327,0,303.738775688833,200,"[]",0.172264227190816,9,"True","LEFT",0.4979,"XsmyxMC4ToX",9,21800,0.103022337,0.034452845438163,0.9515,"siammask",0.4803
